ANO,Código da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Município,Mortalidade infantil,Probabilidade de sobrevivência até 60 anos,Taxa de analfabetismo - 25 anos ou mais,Taxa de frequência líquida ao fundamental,Taxa de frequência líquida ao médio,Taxa de frequência líquida à pré-escola,Taxa de frequência líquida ao superior,% de 25 anos ou mais com médio completo,% de 25 anos ou mais com superior completo,Renda per capita máxima do 1º quinto mais pobre,Renda per capita mínima do décimo mais rico,% de extremamente pobres,Renda per capita,Renda per capita média do 1º quinto mais pobre,Renda per capita média do décimo mais rico,% de empregados com carteira - 18 anos ou mais,% de empregados sem carteira - 18 anos ou mais,% da população em domicílios com água encanada,% da população em domicílios com energia elétrica,% de mulheres de 10 a 14 anos que tiveram filhos,% de mulheres de 15 a 17 anos que tiveram filhos,% de pessoas em domicílios sem energia elétrica,População residente masculina,População residente feminina,População rural,População total,População urbana,População total em domicílios particulares permanentes,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda,Sigla da Unidade da Federação,Nome das Grandes Regiões,PIB per capita a preços correntes,% de empregados total - 18 anos ou mais
2010,26,Pernambuco,260440,CHÃ DE ALEGRIA,24.9,83.03,31.95,95.34,39.33,79.31,1.61,20.94,2.4,75.5,510.0,18.95,239.04,32.19,704.86,35.09,24.98,70.63,99.1,0.0,8.97,0.9,6096,6308,2839,12404,9565,12388,0.604,0.529,0.762,0.546,PE,Nordeste,4611.56,60.07000000000001
2010,26,Pernambuco,260450,CHÃ GRANDE,18.3,87.01,39.15,94.35,23.33,59.96,4.7,14.76,3.32,98.4,576.67,12.43,341.34,55.74,1529.87,14.84,38.7,76.02,99.85,0.0,7.29,0.15,9982,10155,6445,20137,13692,20109,0.599,0.443,0.803,0.603,PE,Nordeste,5468.13,53.540000000000006
2010,26,Pernambuco,260460,CONDADO,34.1,77.96,33.3,95.04,43.34,71.68,5.87,21.95,3.76,88.33,530.0,15.29,297.68,41.98,1277.92,38.04,30.56,79.37,99.63,0.0,8.24,0.37,11844,12438,1645,24282,22637,23784,0.602,0.527,0.713,0.581,PE,Nordeste,4865.96,68.6
2010,26,Pernambuco,260470,CORRENTES,31.4,79.37,41.95,90.94,18.07,18.38,8.59,15.26,3.33,68.5,510.0,20.16,247.2,34.39,901.06,10.77,23.84,77.69,99.49,1.0,10.15,0.51,8610,8809,7090,17419,10329,17285,0.536,0.385,0.726,0.551,PE,Nordeste,4611.35,34.61
2010,26,Pernambuco,260480,CORTÊS,35.4,77.3,37.99,94.61,29.48,69.27,3.09,16.78,3.1,76.67,510.0,17.97,232.22,41.51,742.5,44.14,30.79,82.16,99.95,0.91,9.33,0.05,6183,6269,4551,12452,7901,12342,0.568,0.478,0.707,0.541,PE,Nordeste,8889.08,74.93
2010,26,Pernambuco,260490,CUMARU,32.8,78.66,40.54,92.26,32.58,62.88,5.73,13.13,3.46,56.0,514.33,22.42,249.32,25.86,977.57,14.16,21.27,32.13,99.74,0.57,6.37,0.26,8508,8675,9144,17183,8039,17099,0.572,0.47,0.72,0.553,PE,Nordeste,5487.9,35.43
2010,26,Pernambuco,260500,CUPIRA,24.6,83.21,38.65,93.67,28.61,35.79,4.53,15.77,4.03,98.33,625.0,12.1,336.81,56.17,1248.1,11.96,37.29,86.27,99.33,0.81,9.47,0.67,11050,12340,2603,23390,20787,23265,0.592,0.453,0.763,0.601,PE,Nordeste,4915.87,49.25
2010,26,Pernambuco,260510,CUSTÓDIA,35.7,77.12,33.78,91.4,26.8,63.28,8.73,15.46,4.78,87.5,663.33,17.83,350.0,38.23,1387.44,28.46,24.65,61.54,99.4,0.0,7.07,0.6,16652,17203,12139,33855,21716,33844,0.594,0.489,0.706,0.607,PE,Nordeste,6052.05,53.11
2010,26,Pernambuco,260515,DORMENTES,28.6,80.94,33.96,91.53,39.41,52.33,2.75,15.18,3.15,83.33,523.33,16.8,257.72,45.84,898.61,9.41,19.4,49.98,96.95,0.57,3.11,3.05,8657,8260,10913,16917,6004,16878,0.589,0.495,0.741,0.558,PE,Nordeste,5628.02,28.81
2010,26,Pernambuco,260520,ESCADA,21.7,84.9,27.44,89.08,34.6,63.6,3.37,24.4,2.76,123.0,590.0,9.35,322.46,68.21,1163.07,61.51,17.21,88.12,99.86,1.0,12.1,0.14,31151,32366,9553,63517,53964,63424,0.632,0.543,0.781,0.594,PE,Nordeste,7452.73,78.72
2010,26,Pernambuco,260530,EXU,22.7,84.32,33.0,93.93,27.89,34.4,5.13,16.33,3.29,48.0,510.0,29.07,234.83,25.88,978.0,7.2,38.56,51.59,97.96,0.0,6.42,2.04,15485,16151,15333,31636,16303,31609,0.576,0.454,0.775,0.543,PE,Nordeste,4904.04,45.760000000000005
