Id,Situação atual de trabalho,Setor,Cargo Atual,Nivel,Faixa salarial,Tempo de experiência na área de dados,Satisfação na empresa atual,Motivo de insatisfação com a empresa atual,Falta de oportunidade de crescimento no emprego atual,Salário atual não corresponde ao mercado,Não tenho uma boa relação com meu líder/gestor,Gostaria de trabalhar em em outra área de atuação,Gostaria de receber mais benefícios,O clima de trabalho/ambiente não é bom,Falta de maturidade analítica na empresa,Remuneração/Salário,Benefícios,Propósito do trabalho e da empresa
1vq1kdtdkc5hlku05awxf1vq1kd7ugp9,Empregado (CLT),Educação,Outra Opção,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,0.0,Falta de oportunidade de crescimento no emprego atual,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1xqvtlu78qox274r29vj1xqvtldoen39,Empregado (CLT),Indústria,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,0.0,"Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20lckymovsednj4720lck7o1f9co1z5t,Empregado (CLT),Indústria,DBA/Administrador de Banco de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,0.0,"Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20ml24zr62pf4z38beg8txb20ml24zbk,Empregado (CLT),Tecnologia/Fábrica de Software,Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,0.0,"Gostaria de receber mais benefícios, Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20yjzawax8x88a2z20yj6jadndjwunn8,Empregado (CLT),Educação,Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,0.0,Salário atual não corresponde ao mercado,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25fsyypuhl13wwj2pf25fsyhl34tpe9c,Estagiário,Varejo,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,0.0,"Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado",1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
27utq0oy9aub82f8s27utqjg67jb25x8,Empregado (CLT),Tecnologia/Fábrica de Software,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,0.0,"Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação",1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
28tfaznzwxp85ldv55u728tfy837mt1r,Empregado (CLT),Finanças ou Bancos,Analista de Negócios/Business Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,0.0,"O clima de trabalho/ambiente não é bom, Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual",1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2acmecc9nbfolzmao41ja2acmecc9wpb,Empregado (CLT),Tecnologia/Fábrica de Software,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,0.0,"Não tenho uma boa relação com meu líder/gestor, Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2apq5ql5hyowe844ihx2apq5qqzdm8qf,Empregado (CLT),Finanças ou Bancos,DBA/Administrador de Banco de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,0.0,"O clima de trabalho/ambiente não é bom, Não tenho uma boa relação com meu líder/gestor",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
