Id,Faixa idade,Gênero,Cor/raça/etnia,PCD,vive_no_brasil,uf onde mora,Regiao onde mora,Nivel de Ensino,Área de Formação
ui5hfr9rlbjas803atjui5hfr9h6mtiq,22-24,Masculino,Branca,Não,1,PR,Sul,Mestrado,Outras Engenharias
ui7s5sf4eumr5rfui78o2kp3w097rrq8,35-39,Feminino,Branca,Não,1,ES,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
uieu5b3o5w3r3qgicvocvd4uieu5b3o9,22-24,Masculino,Branca,Não,1,PE,Nordeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
uiijsut95sc8bb5dmgckiuiijsa5vx0s,22-24,Masculino,Branca,Não,1,SC,Sul,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
uinu1yvzx8yynpkoruinkxq3byrmcukr,30-34,Masculino,Branca,Não,1,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
uj3r1e25oo7tweyy6uj3r1aixznkgja4,25-29,Feminino,Branca,Não,1,SC,Sul,Mestrado,Outra opção
uj8l56ggn1r8pb8km8vzuj8l5bnxvoin,25-29,Masculino,Parda,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
ujaf42szyzy37flmyjlujaf42s8h2v6h,17-21,Masculino,Branca,Não,1,MG,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ujgyg90p7l764w0gmmlujgyg9x6biex8,40-44,Masculino,Branca,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ujo5hju9n1epopt41pujo5hjtd37v5u5,55+,Masculino,Branca,Não,1,RJ,Sudeste,Estudante de Graduação,Outra opção
ujoemhoooasms7h7ujoehtqqi3ly122t,30-34,Feminino,Branca,Não,1,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ujpgd01q72vomxisuhvujpg8cofy5p78,30-34,Masculino,Branca,Não,1,PR,Sul,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
ukenlmcnmt2k3syqvukenlmx47muiqhy,22-24,Masculino,Parda,Não,1,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
ukfvtkmahj5x5flvxukftoht42s543em,30-34,Masculino,Branca,Não,1,DF,Centro-oeste,Pós-graduação,Outra opção
ukp3imfcena5wdfkar0mukp3im7y6y4u,30-34,Masculino,Parda,Não,1,RJ,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
ukufmeztkee1eykg859ukufmjp2qkoyw,30-34,Masculino,Branca,Não,1,MG,Sudeste,Pós-graduação,Outras Engenharias
ul9vkaoz644otn54vmul9vkarwkjqdyv,30-34,Masculino,Branca,Não,1,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias
