CO_IES,NU_ANO_CENSO,NO_UF,SG_UF,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,NO_CINE_AREA_GERAL,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_MASC,QT_CONC_FEM,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_DEFICIENTE,QT_CONC_DEFICIENTE,NO_IES
1,2022,Mato Grosso,MT,1,1,Educação,62.0,55.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Artes e humanidades,4.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Artes e humanidades,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Artes e humanidades,5.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Artes e humanidades,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Artes e humanidades,10.0,17.0,4.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Artes e humanidades,12.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Saúde e bem-estar,62.0,293.0,47.0,35.0,12.0,20.0,2.0,25.0,0.0,0.0,0.0,48.0,6.0,42.0,16.0,4.0,27.0,1.0,0.0,0.0,1.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,102.0,261.0,92.0,86.0,6.0,26.0,15.0,50.0,0.0,0.0,1.0,45.0,0.0,45.0,12.0,4.0,28.0,1.0,0.0,0.0,3.0,2.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Saúde e bem-estar,92.0,2887.0,79.0,39.0,40.0,47.0,7.0,24.0,0.0,0.0,1.0,35.0,19.0,16.0,11.0,2.0,18.0,4.0,0.0,0.0,4.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Ciências sociais, comunicação e informação",90.0,546.0,78.0,56.0,22.0,38.0,9.0,30.0,1.0,0.0,0.0,75.0,22.0,53.0,30.0,6.0,37.0,2.0,0.0,0.0,1.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Ciências naturais, matemática e estatística",68.0,79.0,46.0,25.0,21.0,21.0,1.0,23.0,0.0,0.0,1.0,15.0,5.0,10.0,4.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Saúde e bem-estar,84.0,198.0,79.0,68.0,11.0,24.0,19.0,34.0,1.0,0.0,1.0,22.0,2.0,20.0,7.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Saúde e bem-estar,85.0,227.0,62.0,45.0,17.0,18.0,12.0,29.0,3.0,0.0,0.0,31.0,4.0,27.0,11.0,6.0,13.0,1.0,0.0,0.0,3.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Computação e Tecnologias da Informação e Comunicação (TIC),52.0,186.0,52.0,14.0,38.0,24.0,6.0,16.0,3.0,0.0,3.0,13.0,11.0,2.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Agricultura, silvicultura, pesca e veterinária",91.0,210.0,76.0,50.0,26.0,28.0,10.0,34.0,1.0,1.0,2.0,23.0,8.0,15.0,10.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,0.0,0.0,7.0,6.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Negócios, administração e direito",0.0,0.0,66.0,33.0,33.0,17.0,9.0,37.0,1.0,0.0,2.0,19.0,8.0,11.0,7.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Ciências naturais, matemática e estatística",0.0,0.0,70.0,35.0,35.0,18.0,10.0,40.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,0.0,0.0,18.0,12.0,6.0,1.0,4.0,12.0,1.0,0.0,0.0,21.0,8.0,13.0,2.0,6.0,11.0,1.0,1.0,0.0,0.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,0.0,0.0,23.0,8.0,15.0,6.0,3.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,92.0,64.0,29.0,17.0,12.0,8.0,4.0,15.0,0.0,0.0,2.0,17.0,5.0,12.0,1.0,4.0,11.0,1.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2012,Mato Grosso,MT,1,1,Saúde e bem-estar,32.0,656.0,37.0,29.0,8.0,14.0,3.0,16.0,1.0,0.0,3.0,37.0,8.0,29.0,17.0,1.0,14.0,0.0,2.0,3.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,86.0,81.0,36.0,16.0,20.0,14.0,3.0,18.0,0.0,0.0,1.0,11.0,2.0,9.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,21.0,32.0,20.0,11.0,9.0,9.0,6.0,4.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Ciências sociais, comunicação e informação",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,8.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Negócios, administração e direito",42.0,159.0,42.0,25.0,17.0,17.0,10.0,13.0,2.0,0.0,0.0,18.0,8.0,10.0,10.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,"Negócios, administração e direito",104.0,689.0,105.0,49.0,56.0,45.0,13.0,44.0,1.0,0.0,2.0,88.0,47.0,41.0,37.0,11.0,38.0,2.0,0.0,0.0,6.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Educação,56.0,140.0,55.0,29.0,26.0,15.0,10.0,30.0,0.0,0.0,0.0,12.0,6.0,6.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
1,2022,Mato Grosso,MT,1,1,Saúde e bem-estar,56.0,192.0,42.0,9.0,33.0,17.0,3.0,21.0,0.0,0.0,1.0,19.0,12.0,7.0,9.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,UNIVERSIDADE FEDERAL DE MATO GROSSO
